TT,Mã HP,Số TC,Lớp học phần,Khóa học,Khóa tổ chức,Số SV dự kiến,Số SV đã ĐK,Hình thức học,Tuần học,Ngày BĐ,Ngày KT,Số tiết /tuần,Thứ,Tiết BĐ,Số tiết,Phòng học,Cơ sở đào tạo,Giáo Viên,Khoa/Viện
54,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
55,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
56,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/04/2025,02/25/2025,9,3,11,2,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
57,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
58,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
59,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_01,K63,K63,15,0,TH/TN,23 -> 26,02/05/2025,02/26/2025,9,4,11,1,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
60,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
61,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
62,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/04/2025,04/01/2025,9,3,11,2,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
63,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,1,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
64,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,6,5,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
65,AET30014,3,Thực hành Động cơ đốt trong(224.2)_TH_02,K63,K63,15,0,TH/TN,"27 -> 29, 31",03/05/2025,04/02/2025,9,4,11,1,PTH_Diesel,Cơ sở 2,Nguyễn Phi Cường Anh,Kỹ thuật - Công nghệ
