Question_id,question_text,question_zone,ground_truth_answer,chatbot,,,,,,,,,,,,,,,,,
Q001,Hiệu trưởng trường Đại học Vinh hiện nay là ai?,White Area,Hiệu trưởng Trường Đại học Vinh hiện nay (tính đến năm 2024) là GS.TS. Nguyễn Huy Bằng,"GS.TS. Nguyễn Huy Bằng - Hiệu trưởng, Chủ tịch Hội đồng KH&ĐT Nhà trường.",,,,,,,,,,,,,,,,,
Q002,Học phần tiên quyết là gì,White Area,Học phần tiên quyết (Prerequisite) là môn học bắt buộc phải hoàn thành (đạt điểm qua) trước khi được đăng ký học một môn học khác có liên quan về kiến thức hoặc kỹ năng.,học phần tiên quyết là những môn học bắt buộc sinh viên phải hoàn thành trước khi được đăng ký học các môn học tiếp theo trong chương trình đào tạo,,,,,,,,,,,,,,,,,
Q003,Điều kiện để tốt nghiệp loại xuất sắc là gì?,White Area,"Sinh viên phải đạt điểm trung bình tích lũy từ 3,6 đến 4,0 theo thang điểm 4 hoặc từ 9,0 đến 10,0 theo thang điểm 10, Ngoài thành tích học tập xuất sắc, sinh viên cần đạt kết quả rèn luyện loại xuất sắc trong suốt quá trình học tập tại trường.  Sinh viên không bị truy cứu trách nhiệm hình sự, không vi phạm các quy định của nhà trường và hoàn thành đầy đủ các yêu cầu về chương trình đào tạo, bao gồm cả chuẩn đầu ra và số tín chỉ tích lũy theo quy định",điều kiện để xếp loại tốt nghiệp xuất sắc bao gồm: - Điểm trung bình chung học tập (TBCHT) đạt từ 9.0 - 10.0 (thang điểm 10) - Xếp loại rèn luyện: Xuất sắc - Không có điểm học phần nào dưới 5.0 - Không vi phạm kỷ luật từ khiển trách trở lên,,,,,,,,,,,,,,,,,
Q004,Em có thể đăng ký học phần ngoài chương trình đào tạo không?,White Area,"Tại Trường Đại học Vinh, sinh viên có thể đăng ký học các học phần ngoài chương trình đào tạo chính thức, tuy nhiên cần tuân thủ các quy định cụ thể của nhà trường. Để biết thêm chi tiết, bạn nên liên hệ với phòng đào tạo hoặc cố vấn học tập để được hướng dẫn cụ thể."," sinh viên có thể đăng ký học các học phần ngoài chương trình đào tạo chính thức, tuy nhiên cần tuân thủ các quy định cụ thể của nhà trường",,,,,,,,,,,,,,,,,
Q005, sv k63 cho em hỏi nếu học được nửa tháng mà cảm thấy không hợp thì có được hoàn trả học phí không?,White Area,"Chính sách hoàn trả học phí khi rút học phần phụ thuộc vào quy định cụ thể của Trường Đại học Vinh. Thông thường, việc hoàn trả học phí sẽ giảm dần theo thời gian kể từ khi bắt đầu học kỳ. Bạn nên liên hệ trực tiếp với phòng kế hoạch - tài chính của trường để được tư vấn chi tiết về trường hợp của mình.","sinh viên có thể được xem xét hoàn trả học phí nếu thôi học trong thời gian đầu năm học, tuy nhiên mức hoàn trả và điều kiện cụ thể phụ thuộc vào quy định của từng trường. Bạn cần liên hệ trực tiếp với Phòng Tài chính - Kế toán hoặc Phòng Đào tạo của Trường Đại học Vinh để biết chính sách hoàn phí cụ thể áp dụng cho trường hợp của bạn. Thông thường, việc hoàn trả sẽ tính theo tỷ lệ thời gian học đã tham gia.",,,,,,,,,,,,,,,,,
Q006,muốn nộp đơn xin hoàn trả học phí thì phải làm thế nào?,White Area,"Để nộp đơn xin hoàn trả học phí, bạn cần:

- Chuẩn bị đơn xin hoàn trả học phí theo mẫu của trường.​

- Nộp đơn tại phòng kế hoạch - tài chính hoặc bộ phận liên quan.​

- Theo dõi và hoàn thành các thủ tục bổ sung (nếu có) theo hướng dẫn của nhà trường.",sinh viên muốn nộp đơn xin hoàn trả học phí cần liên hệ trực tiếp với Phòng Kế toán hoặc Phòng Công tác sinh viên của Trường Đại học Vinh để được hướng dẫn cụ thể về thủ tục và điều kiện hoàn trả học phí.,,,,,,,,,,,,,,,,,
Q007,sinh viên k63 chuẩn bị vào trường em đã nhập học nhưng chưa lên trường thì có được bảo lưu không?,White Area,"Việc bảo lưu kết quả học tập thường áp dụng cho sinh viên đã bắt đầu quá trình học tập. Nếu bạn đã nhập học nhưng chưa tham gia học tập, bạn nên liên hệ với phòng đào tạo để được hướng dẫn cụ thể về khả năng bảo lưu hoặc các lựa chọn khác phù hợp với tình hình của bạn.","Theo quy định chung của các trường đại học, sinh viên đã nhập học nhưng chưa lên trường có thể được xem xét bảo lưu nếu có lý do chính đáng (ốm đau, tai nạn, dịch bệnh...). Tuy nhiên, để biết chính xác điều kiện và thủ tục bảo lưu cụ thể tại Trường Đại học Vinh, bạn nên liên hệ trực tiếp với Phòng Đào tạo của trường hoặc xem thông tin chi tiết trên website chính thức của trường.",,,,,,,,,,,,,,,,,
Q008,Khi nào có lịch thi học kỳ 2,White Area,Lịch thi học kỳ 2 thường được công bố vài tuần trước khi kỳ thi diễn ra. Bạn nên thường xuyên kiểm tra thông báo trên trang web chính thức của trường hoặc liên hệ với phòng đào tạo để cập nhật thông tin mới nhất.,lịch thi học kỳ sẽ được thông báo trên website của trường hoặc qua phòng Đào tạo. Bạn vui lòng theo dõi thông báo chính thức từ Nhà trường để biết lịch thi chính xác.,,,,,,,,,,,,,,,,,
Q009,bao giờ bắt đầu xét học bổng,White Area,"Quá trình xét học bổng thường diễn ra sau khi kết thúc mỗi học kỳ, dựa trên kết quả học tập và rèn luyện của sinh viên. Thời gian cụ thể sẽ được thông báo bởi phòng công tác sinh viên hoặc bộ phận liên quan. Bạn nên theo dõi các thông báo chính thức để không bỏ lỡ cơ hội.","các trường đại học sẽ có nhiều đợt xét học bổng trong năm (đầu năm học, cuối kỳ, hoặc theo từng học kỳ). Bạn nên liên hệ trực tiếp Phòng Công tác sinh viên hoặc truy cập website chính thức của trường để biết lịch trình cụ thể.",,,,,,,,,,,,,,,,,
Q010,Trường có tổ chức thi lại không hay chỉ xét học lại,White Area,"Tùy theo quy định của từng học phần và nhà trường, có thể có hình thức thi lại hoặc yêu cầu học lại. Bạn nên tham khảo quy chế đào tạo của trường hoặc liên hệ với phòng đào tạo để biết thông tin chi tiết về từng trường hợp cụ thể.",có thể có hình thức thi lại hoặc yêu cầu học lại. Bạn nên tham khảo quy chế đào tạo của trường hoặc liên hệ với phòng đào tạo để biết thông tin chi tiết về từng trường hợp cụ thể.,,,,,,,,,,,,,,,,,
